player_id,year,team
4931,2013,IND
4931,2015,STL
4269,2017,MIN
5515,1974,WAS
5515,1975,WAS
8334,1982,DET
8334,1983,DET
8334,1984,DET
8334,1985,DET
14798,1987,BUF
4775,1996,TAM
10984,1987,NOR
24633,2008,PIT
24633,2009,PIT
681,2009,STL
681,2010,NOR
18156,2010,TAM
17130,2016,DEN
17130,2017,DEN
23066,2015,OAK
23066,2016,OAK
23066,2017,OAK
18115,2000,ATL
18115,2001,ATL
18115,2002,ATL
18115,2003,ATL
18115,2004,ATL
18115,2005,ATL
18115,2006,SEA
18115,2007,SEA
2833,2002,DAL
2833,2003,DAL
2833,2004,CLE
2833,2005,CLE
2833,2006,SFO
2833,2008,TAM
2833,2009,TAM
21742,2014,BAL
21742,2015,BAL
21742,2016,BAL
23352,1976,TAM
23352,1977,TAM
23352,1978,TAM
23352,1979,TAM
23352,1980,TAM
23352,1981,TAM
23352,1982,TAM
23352,1983,TAM
23352,1984,TAM
7874,2011,SDG
7874,2012,SDG
7874,2013,SDG
7874,2014,SDG
7874,2015,NYJ
7874,2016,NYJ
7874,2017,HOU
18494,1985,MIA
18494,1986,MIA
18494,1987,MIA
18494,1988,MIA
18494,1990,MIN
18494,1991,MIN
18494,1992,MIN
18494,1993,MIN
18494,1994,MIN
18494,1995,MIN
11416,2013,OAK
16474,1988,MIN
16474,1989,MIN
16474,1990,MIN
16474,1991,MIN
16474,1992,MIN
16474,1993,WAS
16474,1994,IND
6049,1996,KAN
6049,1997,STL
11571,2011,NYJ
2232,1995,CLE
2232,1996,BAL
2232,1997,BAL
2232,1998,BAL
23752,2013,HOU
11430,2003,OAK
11430,2004,OAK
11430,2005,ARI
10141,2016,CLE
10141,2017,CLE
23080,1970,GNB
23080,1971,ATL
8549,1967,MIN
8549,1969,MIN
8549,1970,MIN
8549,1971,MIN
8549,1972,NYG
8549,1973,NYG
8549,1974,NYG
8549,1975,CHI
8549,1976,MIN
8549,1977,MIN
3681,1987,MIA
22263,1978,SFO
18190,2005,TEN
21473,1970,KAN
21473,1971,KAN
21473,1972,KAN
21473,1973,KAN
21473,1974,KAN
3190,2012,CAR
3190,2013,CAR
3500,1974,BAL
3500,1975,BAL
3500,1976,BAL
3500,1977,BAL
3500,1978,BAL
3500,1979,BAL
3500,1980,BAL
3500,1981,BAL
3500,1982,SEA
3500,1983,SDG
21687,1992,PHI
21687,1993,PHI
21687,1994,PHI
21687,1995,NYJ
24718,2007,BUF
2325,2014,WAS
2325,2015,WAS
2325,2016,WAS
2325,2017,WAS
3541,1965,NYJ
1886,1987,SFO
4768,1980,BUF
4768,1981,BUF
4768,1982,BUF
4768,1983,BUF
4768,1985,BUF
4768,1986,SFO
4768,1987,SFO
4768,1988,MIA
17621,1984,CIN
6628,1998,NYJ
6628,1999,NYJ
6628,2000,NYJ
6628,2001,NYJ
6628,2002,NYJ
6628,2003,NYJ
6628,2004,NYJ
6628,2005,NYJ
6628,2006,DAL
6628,2007,WAS
6628,2008,WAS
20253,1965,STL
16922,2002,HOU
8283,1960,NYT
8283,1961,NYT
8283,1962,NYT
8283,1963,NYJ
8283,1964,NYJ
8283,1965,NYJ
8283,1966,NYJ
8283,1967,NYJ
8283,1970,NYJ
8283,1971,NYJ
8283,1972,NYJ
4885,1968,MIA
4885,1969,MIA
